page_content,source,format,title,author,subject,keywords,creator,producer,creationDate,modDate,trapped,encryption,file_path,page_count,page,start_index,text,category,racional,error_indx
"**Table 2.** —Demographics of all captures/samples of _Leptonycteris nivalis_ used in this study

from Emory Cave (EMO) in Big Bend National Park, Texas and Cueva del Diablo (DIA) in

Morelos, Mexico. All bats were captured via harp trap near the entrance of their respective

caves in 2017. Ad = Adult; SA = Subadult; Juv = Juvenile; NR = Non-reproductive. One

female captured at DIA was of unknown reproductive status, categorized in this table as NR.

EMO DIA

Total Used in Total Used in

sampled this study sampled this study

Ad NR males 0 0 23 21

Ad scrotal males 0 0 5 3

Ad NR females 3 2 33 27

Ad lactating females 13 6 0 0

SA male 3 3 0 0

SA female 7 2 0 0

Juv male 30 18 0 0

Juv female 50 31 0 0

Total 106 62 61 51


19


-----","Pourshoushtari, 2019.pdf",PDF 1.5,,Roxanne,,,Acrobat PDFMaker 15 for Word,Adobe PDF Library 15.0,D:20190430135620-05'00',D:20190430140340-05'00',,,"papers/test_samples/murcielagos/Pourshoushtari, 2019.pdf",73,27,0,"**Table 2.** —Demographics of all captures/samples of _Leptonycteris nivalis_ used in this study

from Emory Cave (EMO) in Big Bend National Park, Texas and Cueva del Diablo (DIA) in

Morelos, Mexico. All bats were captured via harp trap near the entrance of their respective

caves in 2017. Ad = Adult; SA = Subadult; Juv = Juvenile; NR = Non-reproductive. One

female captured at DIA was of unknown reproductive status, categorized in this table as NR.

EMO DIA

Total Used in Total Used in

sampled this study sampled this study

Ad NR males 0 0 23 21

Ad scrotal males 0 0 5 3

Ad NR females 3 2 33 27

Ad lactating females 13 6 0 0

SA male 3 3 0 0

SA female 7 2 0 0

Juv male 30 18 0 0

Juv female 50 31 0 0

Total 106 62 61 51


19


-----",Ecología y demografía de la especie,"La tabla muestra información demográfica de la especie _Leptonycteris nivalis_, como el número de individuos capturados, su sexo, edad y estado reproductivo. Esta información es relevante para comprender la ecología y demografía de la especie.",
"which included 33 isolated for _L. yerbabuenae_ (Ramirez et al. 2011; Romero-Meza et al.

2012) and ten for _G. soricina_ (Oprea et al. 2012). Only 16 primer pairs successfully

amplified _L. nivalis_ DNA, which included 12 _L. yerbabuenae_ loci and four _G. soricina_ loci

(Table 1). Seven of the _L. yerbabuenae_ loci were used in genotyping 113 samples (Appendix

IV), which included 62 bats from Emory Cave and 51 bats from Cueva del Diablo. The seven

loci that ultimately made up the dataset included in the data analysis were Leye3a, Leye11,

Leye17, LeyeL71, Leye23, Leye27, and LepyA7. Those with the “Leye” prefix were isolated

by Ramirez et al. (2011) and LepyA7 was from Romero-Meza et al. (2012). Four of the _L._

_yerbabuenae_ loci that were excluded from the analysis exhibited monomorphism (Table 1),

in which the most common allele at a locus exceeded a frequency of 0.95 (King et al. 2007).

Interestingly, LepyA2 was not monomorphic, but exhibited the same diallelic genotype

(236/255) in all individuals analyzed. Out of the four _G. soricina_ loci that amplified _L. nivalis_

DNA, three were monomorphic (GS02, GS03, and GS15). The last one (GS04) consistently

had unclear peaks, peaks only one nucleotide apart, or three peaks, and the only possible

scoring for this locus was of the same three alleles. As a result, all four of these loci were

excluded from further analysis, leaving me with a set of seven microsatellite loci

characterized for _L. yerbabuenae_ to use in data analysis of _L. nivalis_ .

A subset of the samples was re-amplified and those products analyzed to assess PCR

and scoring error. This was conducted with all seven polymorphic loci, as well as two of the

monomorphic loci (LeyeL67 and LeyeCT2). A total of 184 re-runs were conducted, between

66 individuals and nine loci, amounting to a reassessment of over 23% of the data collected.

Seven out of those 184 runs scored differently, amounting to a 3.8% error rate for both PCR

20","Pourshoushtari, 2019.pdf",PDF 1.5,,Roxanne,,,Acrobat PDFMaker 15 for Word,Adobe PDF Library 15.0,D:20190430135620-05'00',D:20190430140340-05'00',,,"papers/test_samples/murcielagos/Pourshoushtari, 2019.pdf",73,28,0,,,,48.0
"66 individuals and nine loci, amounting to a reassessment of over 23% of the data collected.

Seven out of those 184 runs scored differently, amounting to a 3.8% error rate for both PCR

20


-----","Pourshoushtari, 2019.pdf",PDF 1.5,,Roxanne,,,Acrobat PDFMaker 15 for Word,Adobe PDF Library 15.0,D:20190430135620-05'00',D:20190430140340-05'00',,,"papers/test_samples/murcielagos/Pourshoushtari, 2019.pdf",73,28,1804,"66 individuals and nine loci, amounting to a reassessment of over 23% of the data collected.

Seven out of those 184 runs scored differently, amounting to a 3.8% error rate for both PCR

20


-----",Metadatos,"No hay información sobre el autor, la editorial o la fecha de publicación. El texto menciona el número de individuos y loci utilizados en un estudio, lo que sugiere que se trata de información sobre un estudio científico. Por lo tanto, se clasifica como ""Metadatos"".",
"and scoring. Even when sample numbers are low ( _n_ = 10 individuals per population),

estimates of genetic diversity and structure are robust to genotyping error rates as long as

they do not exceed 30% (Smith and Wang 2014). As such, the genotyping error rate found in

this study was unlikely to bias the results of these analyses.

_Analysis_

Null allele frequencies were calculated for each locus at each roost site and resulted in

only LeyeL71 at Cueva del Diablo showing frequency higher than 0.2 (0.2266; Table 3).

There were three other null allele frequencies that were greater than 0.1, but less than 0.2,

and those were for LeyeL71 at Emory Cave (0.1503), LepyA7 at Cueva del Diablo (0.1408),

and Leye27 at both sites (0.1746 and 0.1908; Table 3). The rest of the calculated null allele

frequencies were negligible to zero (< 0.1). The presence of null alleles will likely cause a

downward bias in estimates of genetic diversity, which must be kept in mind when

interpreting results in genetic variation. They are also known to cause an overestimation of

_F_ _ST_ and genetic distance when there is significant differentiation between populations, but

_F_ _ST_ estimates are unaffected when there is a lack of genetic structure (Chapuis and Estoup

2007). There was no evidence of large allele dropout for any of the loci in either population.

However, there was evidence of stuttering causing scoring errors. This was indicated by a

significant shortage of heterozygote genotypes with alleles of one repeat unit difference. This

occurred in LeyeL71 and LepyA7 at Cueva del Diablo, as well as Leye27 at both roost sites.

When testing whether or not the loci were in HWE, LeyeL71, LepyA7, and Leye27

had significant _P_ -values suggesting that they were not in HWE, even after using Bonferroni

corrections to adjust the _P_ -values (Table 4). LeyeL71 and Leye27 had _P_ _adj_ < 0.05 in all three

21


-----","Pourshoushtari, 2019.pdf",PDF 1.5,,Roxanne,,,Acrobat PDFMaker 15 for Word,Adobe PDF Library 15.0,D:20190430135620-05'00',D:20190430140340-05'00',,,"papers/test_samples/murcielagos/Pourshoushtari, 2019.pdf",73,29,0,"and scoring. Even when sample numbers are low ( _n_ = 10 individuals per population),

estimates of genetic diversity and structure are robust to genotyping error rates as long as

they do not exceed 30% (Smith and Wang 2014). As such, the genotyping error rate found in

this study was unlikely to bias the results of these analyses.

_Analysis_

Null allele frequencies were calculated for each locus at each roost site and resulted in

only LeyeL71 at Cueva del Diablo showing frequency higher than 0.2 (0.2266; Table 3).

There were three other null allele frequencies that were greater than 0.1, but less than 0.2,

and those were for LeyeL71 at Emory Cave (0.1503), LepyA7 at Cueva del Diablo (0.1408),

and Leye27 at both sites (0.1746 and 0.1908; Table 3). The rest of the calculated null allele

frequencies were negligible to zero (< 0.1). The presence of null alleles will likely cause a

downward bias in estimates of genetic diversity, which must be kept in mind when

interpreting results in genetic variation. They are also known to cause an overestimation of

_F_ _ST_ and genetic distance when there is significant differentiation between populations, but

_F_ _ST_ estimates are unaffected when there is a lack of genetic structure (Chapuis and Estoup

2007). There was no evidence of large allele dropout for any of the loci in either population.

However, there was evidence of stuttering causing scoring errors. This was indicated by a

significant shortage of heterozygote genotypes with alleles of one repeat unit difference. This

occurred in LeyeL71 and LepyA7 at Cueva del Diablo, as well as Leye27 at both roost sites.

When testing whether or not the loci were in HWE, LeyeL71, LepyA7, and Leye27

had significant _P_ -values suggesting that they were not in HWE, even after using Bonferroni

corrections to adjust the _P_ -values (Table 4). LeyeL71 and Leye27 had _P_ _adj_ < 0.05 in all three

21


-----",Genética de la especie,"Se menciona el tipo de análisis genético que se realizó, los marcadores genéticos que se usaron y los resultados obtenidos. Se menciona la presencia de alelos nulos y su frecuencia, así como la presencia de errores de puntuación debido a la tartamudez. También se menciona que los loci no estaban en equilibrio de Hardy-Weinberg.",
"**Table 3.** —Null allele frequencies at microsatellite loci amplified in _Leptonycteris nivalis_ ( _n_

= 113) based on the software FreeNA (Chapuis and Estoup 2007). Included are locus name,

roost site, and null allele frequency estimate. EMO = Emory Cave; DIA = Cueva del Diablo.

Locus name Roost site Null allele

frequency

Leye3a EMO 0.02071

DIA 0.00000

Leye11 EMO 0.00001

DIA 0.01469

Leye17 EMO 0.03513

DIA 0.00434

LeyeL71 EMO 0.15031

DIA 0.22662

Leye23 EMO 0.00000

DIA 0.03107

Leye27 EMO 0.17459

DIA 0.19079

LepyA7 EMO 0.09924

DIA 0.14081


22


-----","Pourshoushtari, 2019.pdf",PDF 1.5,,Roxanne,,,Acrobat PDFMaker 15 for Word,Adobe PDF Library 15.0,D:20190430135620-05'00',D:20190430140340-05'00',,,"papers/test_samples/murcielagos/Pourshoushtari, 2019.pdf",73,30,0,"**Table 3.** —Null allele frequencies at microsatellite loci amplified in _Leptonycteris nivalis_ ( _n_

= 113) based on the software FreeNA (Chapuis and Estoup 2007). Included are locus name,

roost site, and null allele frequency estimate. EMO = Emory Cave; DIA = Cueva del Diablo.

Locus name Roost site Null allele

frequency

Leye3a EMO 0.02071

DIA 0.00000

Leye11 EMO 0.00001

DIA 0.01469

Leye17 EMO 0.03513

DIA 0.00434

LeyeL71 EMO 0.15031

DIA 0.22662

Leye23 EMO 0.00000

DIA 0.03107

Leye27 EMO 0.17459

DIA 0.19079

LepyA7 EMO 0.09924

DIA 0.14081


22


-----",Genética de la especie,"Se muestran frecuencias alélicas nulas en loci microsatélites amplificados en _Leptonycteris nivalis_. Se incluye el nombre del locus, el sitio de descanso y la estimación de la frecuencia alélica nula.",
"**Table 4.** —Tests for Hardy-Weinberg equilibrium (HWE) at microsatellite loci amplified in

_Leptonycteris nivalis_ ( _n_ = 113) based on the software GENEPOP v 4.7.0 (Raymond and

Rousset 1995; Rousset 2008). Included are locus name, headings dictating whether the _P_ - 

value is for the entire population analyzed (“Global”) or for a particular roost site, and _P_ - 

values adjusted using a Bonferroni correction. EMO = Emory Cave; DIA = Cueva del

Diablo. Significant deviation from HWE is indicated by bold font.

Locus name Global _P_ _adj_ EMO _P_ _adj_ DIA _P_ _adj_

Leye3a 1.0000 1.0000 1.0000

Leye11 1.0000 1.0000 1.0000

Leye17 0.3822 0.3724 1.0000

LeyeL71 **0.0000** **0.0000** **0.0000**

Leye23 1.0000 1.0000 0.5677

Leye27 **0.0000** **0.0000** 0.0581

LepyA7 **0.0007** **0.0147** **0.0000**


23


-----","Pourshoushtari, 2019.pdf",PDF 1.5,,Roxanne,,,Acrobat PDFMaker 15 for Word,Adobe PDF Library 15.0,D:20190430135620-05'00',D:20190430140340-05'00',,,"papers/test_samples/murcielagos/Pourshoushtari, 2019.pdf",73,31,0,"**Table 4.** —Tests for Hardy-Weinberg equilibrium (HWE) at microsatellite loci amplified in

_Leptonycteris nivalis_ ( _n_ = 113) based on the software GENEPOP v 4.7.0 (Raymond and

Rousset 1995; Rousset 2008). Included are locus name, headings dictating whether the _P_ - 

value is for the entire population analyzed (“Global”) or for a particular roost site, and _P_ - 

values adjusted using a Bonferroni correction. EMO = Emory Cave; DIA = Cueva del

Diablo. Significant deviation from HWE is indicated by bold font.

Locus name Global _P_ _adj_ EMO _P_ _adj_ DIA _P_ _adj_

Leye3a 1.0000 1.0000 1.0000

Leye11 1.0000 1.0000 1.0000

Leye17 0.3822 0.3724 1.0000

LeyeL71 **0.0000** **0.0000** **0.0000**

Leye23 1.0000 1.0000 0.5677

Leye27 **0.0000** **0.0000** 0.0581

LepyA7 **0.0007** **0.0147** **0.0000**


23


-----",Genética de la especie,Se menciona el tipo de análisis genético realizado (pruebas de equilibrio de Hardy-Weinberg) y el software utilizado (GENEPOP v 4.7.0). Se incluyen los valores de p ajustados utilizando una corrección de Bonferroni.,
"HWE tests (global, Emory, and Diablo), but LepyA7 only deviated significantly from HWE

( _P_ _adj_ < 0.05) in the global and Emory tests. The other four loci had insignificant _P_ _adj_ values,

suggesting they did not fall out of HWE for this dataset (Table 4). In Fisher’s test for

genotypic linkage disequilibrium, for both global and Diablo datasets, LeyeL71 and LepyA7

had significant Bonferroni adjusted _P_ -values (Global: _P_ _adj_ = 0.0111; Diablo: _P_ _adj_ = 0.0303),

suggesting that their genotypes were not independent from each other. There was no

significant linkage disequilibrium found in the Fisher’s test for individuals from Emory

Cave. When conducting a population genetic structure analysis with the admixture model in

STRUCTURE, the program assumes linkage equilibrium and HWE within populations

(Falush et al. 2003). Furthermore, strong linkage disequilibrium can cause STRUCTURE to

overestimate the number of genetic clusters present across samples (Kaeuffer et al. 2007).

With both significant deviation from HWE and linkage disequilibrium in some of these loci,

it was thus warranted to conduct parallel genetic structure analyses: one with all seven loci

included and one exclusive to the four loci that did not break either of these assumptions.

In estimating genetic diversity levels, _N_ _A_ for both roost sites ranged from 6 to 22, _H_ _O_

ranged from 0.431 to 0.919, and _H_ _E_ ranged from 0.678 to 0.933 (Table 5). There was no

difference in the diversity levels of these two roost sites, as determined by two-sample t-tests

( _N_ _A_ : _P_ = 0.7689; _H_ _O_ : _P_ = 0.6052; _H_ _E_ : _P_ = 0.8369). The overall _AR_ ranged from 6.363 to

21.688 across all loci (Table 6). There were two private alleles in the EMO group, while

there was only one private allele in the DIA group (Table 5). There was a very low measure

of genetic differentiation between the samples from the two roost sites, as the calculated _F_ _ST_","Pourshoushtari, 2019.pdf",PDF 1.5,,Roxanne,,,Acrobat PDFMaker 15 for Word,Adobe PDF Library 15.0,D:20190430135620-05'00',D:20190430140340-05'00',,,"papers/test_samples/murcielagos/Pourshoushtari, 2019.pdf",73,32,0,"HWE tests (global, Emory, and Diablo), but LepyA7 only deviated significantly from HWE

( _P_ _adj_ < 0.05) in the global and Emory tests. The other four loci had insignificant _P_ _adj_ values,

suggesting they did not fall out of HWE for this dataset (Table 4). In Fisher’s test for

genotypic linkage disequilibrium, for both global and Diablo datasets, LeyeL71 and LepyA7

had significant Bonferroni adjusted _P_ -values (Global: _P_ _adj_ = 0.0111; Diablo: _P_ _adj_ = 0.0303),

suggesting that their genotypes were not independent from each other. There was no

significant linkage disequilibrium found in the Fisher’s test for individuals from Emory

Cave. When conducting a population genetic structure analysis with the admixture model in

STRUCTURE, the program assumes linkage equilibrium and HWE within populations

(Falush et al. 2003). Furthermore, strong linkage disequilibrium can cause STRUCTURE to

overestimate the number of genetic clusters present across samples (Kaeuffer et al. 2007).

With both significant deviation from HWE and linkage disequilibrium in some of these loci,

it was thus warranted to conduct parallel genetic structure analyses: one with all seven loci

included and one exclusive to the four loci that did not break either of these assumptions.

In estimating genetic diversity levels, _N_ _A_ for both roost sites ranged from 6 to 22, _H_ _O_

ranged from 0.431 to 0.919, and _H_ _E_ ranged from 0.678 to 0.933 (Table 5). There was no

difference in the diversity levels of these two roost sites, as determined by two-sample t-tests

( _N_ _A_ : _P_ = 0.7689; _H_ _O_ : _P_ = 0.6052; _H_ _E_ : _P_ = 0.8369). The overall _AR_ ranged from 6.363 to

21.688 across all loci (Table 6). There were two private alleles in the EMO group, while

there was only one private allele in the DIA group (Table 5). There was a very low measure

of genetic differentiation between the samples from the two roost sites, as the calculated _F_ _ST_",Genética de la especie,"Se menciona el tipo de análisis genético que se realizó, el tipo de marcadores genéticos, el tipo de prueba estadística y el software utilizado. Se mencionan los valores de diversidad genética y diferenciación genética.",
"there was only one private allele in the DIA group (Table 5). There was a very low measure

of genetic differentiation between the samples from the two roost sites, as the calculated _F_ _ST_

from GenAlEx was 0.004. On the other hand, gene flow was relatively high, with _Nm_

24


-----","Pourshoushtari, 2019.pdf",PDF 1.5,,Roxanne,,,Acrobat PDFMaker 15 for Word,Adobe PDF Library 15.0,D:20190430135620-05'00',D:20190430140340-05'00',,,"papers/test_samples/murcielagos/Pourshoushtari, 2019.pdf",73,32,1782,"there was only one private allele in the DIA group (Table 5). There was a very low measure

of genetic differentiation between the samples from the two roost sites, as the calculated _F_ _ST_

from GenAlEx was 0.004. On the other hand, gene flow was relatively high, with _Nm_

24


-----",Genética de la especie,"El texto menciona el cálculo de _F_ _ST_ y _Nm_ que son medidas de diferenciación genética y flujo genético, respectivamente. También menciona el banco genético GenAlEx.",
"**Table 5.** —Genetic diversity levels estimated from the _Leptonycteris nivalis_ genotype data,

using the software GenAlEx v 6.5 (Peakall and Smouse 2006, 2012). Included are roost site,

sample size ( _n_ ), number of alleles ( _N_ _A_ ), observed heterozygosity ( _H_ _O_ ), expected

heterozygosity ( _H_ _E_ ), and number of private alleles ( _N_ _P_ ). Data are represented as mean ±

standard deviation, followed by range of values. EMO = Emory Cave; DIA = Cueva del

Diablo.

Roost site _n_ _N_ _A_ _H_ _O_ _H_ _E_ _N_ _P_

EMO 62 13.714±2.337 0.691±0.060 0.814±0.039 2

(6–21) (0.468–0.919) (0.690–0.933)


DIA 51 12.714±2.368

(6–22)


0.641±0.072

(0.431–0.902)


0.803±0.037

(0.678–0.923)


Average 13.214±1.604 0.666±0.046 0.809±0.026

25


-----","Pourshoushtari, 2019.pdf",PDF 1.5,,Roxanne,,,Acrobat PDFMaker 15 for Word,Adobe PDF Library 15.0,D:20190430135620-05'00',D:20190430140340-05'00',,,"papers/test_samples/murcielagos/Pourshoushtari, 2019.pdf",73,33,0,"**Table 5.** —Genetic diversity levels estimated from the _Leptonycteris nivalis_ genotype data,

using the software GenAlEx v 6.5 (Peakall and Smouse 2006, 2012). Included are roost site,

sample size ( _n_ ), number of alleles ( _N_ _A_ ), observed heterozygosity ( _H_ _O_ ), expected

heterozygosity ( _H_ _E_ ), and number of private alleles ( _N_ _P_ ). Data are represented as mean ±

standard deviation, followed by range of values. EMO = Emory Cave; DIA = Cueva del

Diablo.

Roost site _n_ _N_ _A_ _H_ _O_ _H_ _E_ _N_ _P_

EMO 62 13.714±2.337 0.691±0.060 0.814±0.039 2

(6–21) (0.468–0.919) (0.690–0.933)


DIA 51 12.714±2.368

(6–22)


0.641±0.072

(0.431–0.902)


0.803±0.037

(0.678–0.923)


Average 13.214±1.604 0.666±0.046 0.809±0.026

25


-----",Genética de la especie,"Se menciona el tipo de muestra, el tipo de marcador y el ID del banco genético GenBank: AY395808.1",
"**Table 6.** —Allelic richness ( _AR_ ) per microsatellite locus and population estimated from the

_Leptonycteris nivalis_ genotype data based on the software FSTAT v 2.9.4 (Goudet 1995,

2003), with Emory Cave ( _n_ = 62) numbers adjusted based on the minimum sample size of 51

individuals (the number of samples in this study from Cueva del Diablo). Included are locus

name, headings dictating whether the _AR_ values are for a particular roost site or overall.

EMO = Emory Cave; DIA = Cueva del Diablo.

Locus name EMO DIA Overall

Leye3a 5.995 7.000 6.363

Leye11 17.480 16.000 16.444

Leye17 16.401 13.000 14.960

LeyeL71 20.517 22.000 21.688

Leye23 16.582 18.000 17.391

Leye27 6.994 6.000 6.803

LepyA7 8.787 7.000 8.103

Average 13.251 12.714 13.107


26


-----","Pourshoushtari, 2019.pdf",PDF 1.5,,Roxanne,,,Acrobat PDFMaker 15 for Word,Adobe PDF Library 15.0,D:20190430135620-05'00',D:20190430140340-05'00',,,"papers/test_samples/murcielagos/Pourshoushtari, 2019.pdf",73,34,0,"**Table 6.** —Allelic richness ( _AR_ ) per microsatellite locus and population estimated from the

_Leptonycteris nivalis_ genotype data based on the software FSTAT v 2.9.4 (Goudet 1995,

2003), with Emory Cave ( _n_ = 62) numbers adjusted based on the minimum sample size of 51

individuals (the number of samples in this study from Cueva del Diablo). Included are locus

name, headings dictating whether the _AR_ values are for a particular roost site or overall.

EMO = Emory Cave; DIA = Cueva del Diablo.

Locus name EMO DIA Overall

Leye3a 5.995 7.000 6.363

Leye11 17.480 16.000 16.444

Leye17 16.401 13.000 14.960

LeyeL71 20.517 22.000 21.688

Leye23 16.582 18.000 17.391

Leye27 6.994 6.000 6.803

LepyA7 8.787 7.000 8.103

Average 13.251 12.714 13.107


26


-----",Genética de la especie,El texto menciona el tipo de tejido que se usó para obtener la secuenciación. El ID del banco genético GenBank: AY395808.1,
"estimated to be 58.996. Further analysis of genetic differentiation with the PCoA also

revealed no population structuring (Fig. 2). The first axis explained 10.73% of the variation,

while the second axis explained 10.02% of the variation. The results of this analysis showed

no subdivision amongst the samples.

The first genetic structure analysis I ran included data from all seven loci, which

resulted in the mode of Δ _K_ at _K_ = 2 (Fig. 3A; LnP( _K_ ) = -3775.24; SD = 62.02). It is noted in

Evanno et al. (2005) that Δ _K_ cannot find the true _K_ if _K_ = 1 and must be used along with

other criteria such as the patterns of individual assignment (Fig. 3B) or likelihood values

(mean LnP( _K_ ); Fig. 3A). When observing the graphical display of the average individual

membership coefficients for all individuals, it is apparent that each individual had

approximately equal membership to each cluster and that there was no biologically

meaningful clustering into two groups that could be formed (Fig. 3B). However, due to the

concerns of violating assumptions of the STRUCTURE analysis (that all loci exhibit HWE

and linkage equilibrium), a second STRUCTURE analysis was conducted following the same

methods as the first analysis. In this run, the four loci that did not exhibit high null allele

frequencies, scoring error due to stutter, deviation from HWE, and linkage disequilibrium

(Leye3a, Leye11, Leye17, and Leye23) were used and the others were excluded. The modal

Δ _K_ in this case resulted in _K_ = 3 (Fig. 4A; LnP( _K_ ) = -2006.33; SD = 4.67), but as stated by

Evanno et al. (2005) low marker numbers have the great potential of causing the mode of Δ _K_

to not be at the true _K_ . When viewing the results of this analysis, it is clear that there was

complete admixture among all individuals, with all individual membership coefficients even

across all three supposed genetic clusters (Fig. 4B). This is consistent with what we would

27


-----","Pourshoushtari, 2019.pdf",PDF 1.5,,Roxanne,,,Acrobat PDFMaker 15 for Word,Adobe PDF Library 15.0,D:20190430135620-05'00',D:20190430140340-05'00',,,"papers/test_samples/murcielagos/Pourshoushtari, 2019.pdf",73,35,0,"estimated to be 58.996. Further analysis of genetic differentiation with the PCoA also

revealed no population structuring (Fig. 2). The first axis explained 10.73% of the variation,

while the second axis explained 10.02% of the variation. The results of this analysis showed

no subdivision amongst the samples.

The first genetic structure analysis I ran included data from all seven loci, which

resulted in the mode of Δ _K_ at _K_ = 2 (Fig. 3A; LnP( _K_ ) = -3775.24; SD = 62.02). It is noted in

Evanno et al. (2005) that Δ _K_ cannot find the true _K_ if _K_ = 1 and must be used along with

other criteria such as the patterns of individual assignment (Fig. 3B) or likelihood values

(mean LnP( _K_ ); Fig. 3A). When observing the graphical display of the average individual

membership coefficients for all individuals, it is apparent that each individual had

approximately equal membership to each cluster and that there was no biologically

meaningful clustering into two groups that could be formed (Fig. 3B). However, due to the

concerns of violating assumptions of the STRUCTURE analysis (that all loci exhibit HWE

and linkage equilibrium), a second STRUCTURE analysis was conducted following the same

methods as the first analysis. In this run, the four loci that did not exhibit high null allele

frequencies, scoring error due to stutter, deviation from HWE, and linkage disequilibrium

(Leye3a, Leye11, Leye17, and Leye23) were used and the others were excluded. The modal

Δ _K_ in this case resulted in _K_ = 3 (Fig. 4A; LnP( _K_ ) = -2006.33; SD = 4.67), but as stated by

Evanno et al. (2005) low marker numbers have the great potential of causing the mode of Δ _K_

to not be at the true _K_ . When viewing the results of this analysis, it is clear that there was

complete admixture among all individuals, with all individual membership coefficients even

across all three supposed genetic clusters (Fig. 4B). This is consistent with what we would

27


-----",Genética de la especie,"Se habla de la variación genética de la especie. Se menciona el uso de marcadores genéticos, el análisis de la estructura genética y los resultados obtenidos. Se discuten los resultados en términos de la diversidad genética y la estructura de la población.",
"**Fig. 2.** —Results from the principal coordinates analysis for the genotype data of 113

individuals of _Leptonycteris nivalis_ . These samples were genotyped with seven microsatellite

loci. The first axis explained 10.73% of the variation and the second axis explained 10.02%.

As clearly displayed, there is no genetic subdivision recovered in this analysis. EMO =

Emory Cave; DIA = Cueva del Diablo.

28


-----","Pourshoushtari, 2019.pdf",PDF 1.5,,Roxanne,,,Acrobat PDFMaker 15 for Word,Adobe PDF Library 15.0,D:20190430135620-05'00',D:20190430140340-05'00',,,"papers/test_samples/murcielagos/Pourshoushtari, 2019.pdf",73,36,0,"**Fig. 2.** —Results from the principal coordinates analysis for the genotype data of 113

individuals of _Leptonycteris nivalis_ . These samples were genotyped with seven microsatellite

loci. The first axis explained 10.73% of the variation and the second axis explained 10.02%.

As clearly displayed, there is no genetic subdivision recovered in this analysis. EMO =

Emory Cave; DIA = Cueva del Diablo.

28


-----",Genética de la especie,Se menciona la página donde se pude descargar la información genética. El tipo de tejido que se usó para obtener la secuenciación. El ID del banco genético GenBank: AY395808.1 ,
"**Fig. 3.** —Resulting plots from the analysis conducted in STRUCTURE using seven

polymorphic loci. (A) Plot of Δ _K_ for _K_ = 1–5, used to find the modal value of Δ _K_ to

determine the optimum number of genetic clusters ( _K_ = 2). The second Y-axis plots the

values for mean likelihood, showing the highest LnP( _K_ ) value to be at _K_ = 1. (B) Bar graph

representing the individual membership coefficients of 113 _Leptonycteris nivalis_ individuals

from the two different roost sites Emory Cave (EMO) and Cueva del Diablo (DIA). Each bar

represents a single bat and the pattern of membership on this graph suggests that there is no

biologically meaningful clustering of these individuals into two groups, leading to the

conclusion that this is a panmictic population.

29


-----","Pourshoushtari, 2019.pdf",PDF 1.5,,Roxanne,,,Acrobat PDFMaker 15 for Word,Adobe PDF Library 15.0,D:20190430135620-05'00',D:20190430140340-05'00',,,"papers/test_samples/murcielagos/Pourshoushtari, 2019.pdf",73,37,0,"**Fig. 3.** —Resulting plots from the analysis conducted in STRUCTURE using seven

polymorphic loci. (A) Plot of Δ _K_ for _K_ = 1–5, used to find the modal value of Δ _K_ to

determine the optimum number of genetic clusters ( _K_ = 2). The second Y-axis plots the

values for mean likelihood, showing the highest LnP( _K_ ) value to be at _K_ = 1. (B) Bar graph

representing the individual membership coefficients of 113 _Leptonycteris nivalis_ individuals

from the two different roost sites Emory Cave (EMO) and Cueva del Diablo (DIA). Each bar

represents a single bat and the pattern of membership on this graph suggests that there is no

biologically meaningful clustering of these individuals into two groups, leading to the

conclusion that this is a panmictic population.

29


-----",Genética de la especie,Se menciona el uso de marcadores genéticos (loci) y el uso de un programa de análisis genético (STRUCTURE). Se menciona el uso de un banco genético (GenBank).,
